,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,popularity,uri,title,artist,top genre,year,target
1073,0.568,0.0952,152.279,0.41100000000000003,0.0256,0.0,4,0.82,6,210787,-8.23,0.535,0,audio_features,72,spotify:track:2Yl4OmDby9iitgNWZPwxkd,Be Careful,Cardi B,pop,2018,0
1074,0.625,0.314,167.91099999999997,0.5529999999999999,0.287,0.0,4,0.62,9,284856,-7.438,0.665,1,audio_features,62,spotify:track:00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),Cardi B & Chance the Rapper,pop,2018,0
1075,0.726,0.37200000000000005,136.048,0.129,0.099,0.0,4,0.816,5,253390,-3.998,0.65,0,audio_features,83,spotify:track:58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B & Bad Bunny & J Balvin,pop,2018,0
1076,0.5429999999999999,0.115,106.029,0.10300000000000001,0.049,0.0,4,0.767,1,177140,-7.881,0.485,0,audio_features,70,spotify:track:5DfWF0jqMgZDCiu9zJENTA,Ring (feat. Kehlani),Cardi B & Kehlani,pop,2018,0
1077,0.7879999999999999,0.10800000000000001,129.977,0.124,0.107,0.000691,4,0.9470000000000001,10,229005,-6.138,0.45399999999999996,0,audio_features,61,spotify:track:1vBeIXlzbAieGoDqInav5j,Money Bag,Cardi B,pop,2018,0
1078,0.524,0.38299999999999995,138.015,0.18100000000000002,0.0011099999999999999,0.000678,4,0.9079999999999999,1,224285,-7.955,0.109,1,audio_features,71,spotify:track:0dIoGTQXDh1wVnhIiSyYEa,Bartier Cardi (feat. 21 Savage),Cardi B & 21 Savage,pop,2018,0
1079,0.504,0.0963,159.94899999999998,0.266,0.0183,0.0,4,0.7909999999999999,10,230953,-7.864,0.355,1,audio_features,64,spotify:track:0CfmNX2TXk7yoJqHJiixnp,She Bad,Cardi B & YG,pop,2018,0
1080,0.5489999999999999,0.057,121.954,0.16699999999999998,0.17,0.0,4,0.8370000000000001,0,188524,-5.722,0.209,1,audio_features,74,spotify:track:74cVJfmK18rhWnscIpGXjt,Thru Your Phone,Cardi B,pop,2018,0
1081,0.473,0.0864,135.065,0.255,0.27,2.58e-05,4,0.8859999999999999,7,200205,-7.337999999999999,0.43799999999999994,0,audio_features,71,spotify:track:1f5PNhkNgUpvDEeZfcIlO1,I Do (feat. SZA),Cardi B & SZA,pop,2018,0
1082,0.16,0.426,128.80700000000002,0.955,0.888,0.0,3,0.71,8,56947,-17.373,0.873,1,audio_features,32,spotify:track:0n6qoCWeQuMfSVDDOF1RSE,Intro (Skit) (feat. The Breakfast Club),Cardi B & Breakfast Club,pop,2016,0
1083,0.5479999999999999,0.368,107.844,0.28300000000000003,0.0778,0.0,4,0.785,2,144483,-8.254,0.375,1,audio_features,50,spotify:track:4cxKwt0mdy35povvGlyirE,Trust Issues,Cardi B,pop,2016,0
1084,0.624,0.307,147.99,0.13699999999999998,0.0161,3.35e-05,4,0.789,4,166217,-7.425,0.56,1,audio_features,53,spotify:track:67co9ZN8NRGnB7tiaF8yen,On Fleek,Cardi B,pop,2016,0
1085,0.637,0.616,111.814,0.386,0.0767,0.0,5,0.562,2,200229,-9.655,0.645,1,audio_features,51,spotify:track:4GDhJN2w2fLMovXBvjWywV,Washpoppin,Cardi B,pop,2016,0
1086,0.331,0.604,67.281,0.9470000000000001,0.23800000000000002,0.0,4,0.7659999999999999,11,90305,-20.113,0.29100000000000004,0,audio_features,35,spotify:track:5JqaLICCQlGGbi9oQphhf2,Her Perspective (Skit),Cardi B,pop,2016,0
1087,0.21100000000000002,0.114,130.553,0.0586,0.907,0.0,5,0.48200000000000004,1,192993,-15.195,0.348,0,audio_features,40,spotify:track:32eXDBboJm58yHlTpZcFUZ,Selfish (feat. Josh X),Cardi B & Josh X,pop,2016,0
1088,0.6509999999999999,0.22399999999999998,125.98700000000001,0.16699999999999998,0.125,0.213,4,0.647,0,251533,-12.089,0.152,0,audio_features,38,spotify:track:7kGvSuocFQxrcneBebUA5l,I Gotta Hurt You,Cardi B,pop,2016,0
1089,0.685,0.0909,161.085,0.35200000000000004,0.384,0.000146,4,0.862,9,202919,-6.281000000000001,0.43,1,audio_features,53,spotify:track:5mwQ8wQElaMO1joDd5vtwd,Foreva,Cardi B,pop,2016,0
1090,0.266,0.069,128.197,0.871,0.805,0.0,5,0.711,6,127608,-15.927999999999999,0.225,0,audio_features,31,spotify:track:0QOHLcr82xiHHCFXJEZoSb,Trick (Skit) (feat. Haitian V),Cardi B & Haitian V,pop,2016,0
1091,0.688,0.0865,93.037,0.259,0.008159999999999999,0.0,4,0.7070000000000001,11,172251,-6.261,0.285,0,audio_features,38,spotify:track:0O5WTYTLlTVeInQUDOJJnU,Trick,Cardi B,pop,2016,0
1092,0.36200000000000004,0.0737,139.953,0.465,0.11699999999999999,0.0,4,0.894,2,181290,-11.380999999999998,0.26,1,audio_features,50,spotify:track:0kfumbp5lPQvPrMTrqsaNv,Lit Thot,Cardi B,pop,2016,0
